"DateTime","Temperature","Light"
"10/12/13 5:01:00 PM","8.5",""
"10/12/13 9:01:00 PM","6.5",""
"10/13/13 1:01:00 AM","6.5",""
"10/13/13 5:01:00 AM","6",""
"10/13/13 9:01:00 AM","7",""
"10/13/13 1:01:00 PM","9",""
"10/13/13 5:01:00 PM","10",""
"10/13/13 9:01:00 PM","8",""
"10/14/13 1:01:00 AM","7",""
"10/14/13 5:01:00 AM","6",""
"10/14/13 9:01:00 AM","5",""
"10/14/13 1:01:00 PM","8",""
"10/14/13 5:01:00 PM","9.5",""
"10/14/13 9:01:00 PM","6.5",""
"10/15/13 1:01:00 AM","5",""
"10/15/13 5:01:00 AM","4.5",""
"10/15/13 9:01:00 AM","4.5",""
"10/15/13 1:01:00 PM","6.5",""
"10/15/13 5:01:00 PM","7.5",""
"10/15/13 9:01:00 PM","6.5",""
"10/16/13 1:01:00 AM","4.5",""
"10/16/13 5:01:00 AM","3.5",""
"10/16/13 9:01:00 AM","3.5",""
"10/16/13 1:01:00 PM","5.5",""
"10/16/13 5:01:00 PM","7",""
"10/16/13 9:01:00 PM","5",""
"10/17/13 1:01:00 AM","3.5",""
"10/17/13 5:01:00 AM","3",""
"10/17/13 9:01:00 AM","3",""
"10/17/13 1:01:00 PM","5.5",""
"10/17/13 5:01:00 PM","7",""
"10/17/13 9:01:00 PM","5",""
"10/18/13 1:01:00 AM","4",""
"10/18/13 5:01:00 AM","3",""
"10/18/13 9:01:00 AM","3",""
"10/18/13 1:01:00 PM","5",""
"10/18/13 5:01:00 PM","7",""
"10/18/13 9:01:00 PM","4.5",""
"10/19/13 1:01:00 AM","3.5",""
"10/19/13 5:01:00 AM","3",""
"10/19/13 9:01:00 AM","3",""
"10/19/13 1:01:00 PM","5.5",""
"10/19/13 5:01:00 PM","7.5",""
"10/19/13 9:01:00 PM","5.5",""
"10/20/13 1:01:00 AM","4.5",""
"10/20/13 5:01:00 AM","4",""
"10/20/13 9:01:00 AM","3.5",""
"10/20/13 1:01:00 PM","6",""
"10/20/13 5:01:00 PM","8",""
"10/20/13 9:01:00 PM","6",""
"10/21/13 1:01:00 AM","5",""
"10/21/13 5:01:00 AM","4",""
"10/21/13 9:01:00 AM","4",""
"10/21/13 1:01:00 PM","6.5",""
"10/21/13 5:01:00 PM","8.5",""
"10/21/13 9:01:00 PM","6",""
"10/22/13 1:01:00 AM","4.5",""
"10/22/13 5:01:00 AM","4",""
"10/22/13 9:01:00 AM","3.5",""
"10/22/13 1:01:00 PM","6.5",""
"10/22/13 5:01:00 PM","8.5",""
"10/22/13 9:01:00 PM","6.5",""
"10/23/13 1:01:00 AM","5.5",""
"10/23/13 5:01:00 AM","4.5",""
"10/23/13 9:01:00 AM","4.5",""
"10/23/13 1:01:00 PM","7",""
"10/23/13 5:01:00 PM","9.5",""
"10/23/13 9:01:00 PM","7",""
"10/24/13 1:01:00 AM","6",""
"10/24/13 5:01:00 AM","5",""
"10/24/13 9:01:00 AM","5",""
"10/24/13 1:01:00 PM","8",""
"10/24/13 5:01:00 PM","10",""
"10/24/13 9:01:00 PM","8",""
"10/25/13 1:01:00 AM","8",""
"10/25/13 5:01:00 AM","7",""
"10/25/13 9:01:00 AM","6.5",""
"10/25/13 1:01:00 PM","8.5",""
"10/25/13 5:01:00 PM","8",""
"10/25/13 9:01:00 PM","7",""
"10/26/13 1:01:00 AM","6.5",""
"10/26/13 5:01:00 AM","6",""
"10/26/13 9:01:00 AM","5.5",""
"10/26/13 1:01:00 PM","8",""
"10/26/13 5:01:00 PM","9.5",""
"10/26/13 9:01:00 PM","7.5",""
"10/27/13 1:01:00 AM","6",""
"10/27/13 5:01:00 AM","5.5",""
"10/27/13 9:01:00 AM","5",""
"10/27/13 1:01:00 PM","8",""
"10/27/13 5:01:00 PM","9",""
"10/27/13 9:01:00 PM","7",""
"10/28/13 1:01:00 AM","7",""
"10/28/13 5:01:00 AM","6.5",""
"10/28/13 9:01:00 AM","6",""
"10/28/13 1:01:00 PM","8",""
"10/28/13 5:01:00 PM","9",""
"10/28/13 9:01:00 PM","7.5",""
"10/29/13 1:01:00 AM","7",""
"10/29/13 5:01:00 AM","6",""
"10/29/13 9:01:00 AM","6.5",""
"10/29/13 1:01:00 PM","8",""
"10/29/13 5:01:00 PM","7.5",""
"10/29/13 9:01:00 PM","6",""
"10/30/13 1:01:00 AM","5.5",""
"10/30/13 5:01:00 AM","5",""
"10/30/13 9:01:00 AM","5",""
"10/30/13 1:01:00 PM","5",""
"10/30/13 5:01:00 PM","4.5",""
"10/30/13 9:01:00 PM","4.5",""
"10/31/13 1:01:00 AM","4",""
"10/31/13 5:01:00 AM","4",""
"10/31/13 9:01:00 AM","3.5",""
"10/31/13 1:01:00 PM","3.5",""
"10/31/13 5:01:00 PM","4",""
"10/31/13 9:01:00 PM","3.5",""
"11/1/13 1:01:00 AM","3",""
"11/1/13 5:01:00 AM","3",""
"11/1/13 9:01:00 AM","2.5",""
"11/1/13 1:01:00 PM","2.5",""
"11/1/13 5:01:00 PM","5.5",""
"11/1/13 9:01:00 PM","3.5",""
"11/2/13 1:01:00 AM","3",""
"11/2/13 5:01:00 AM","2.5",""
"11/2/13 9:01:00 AM","1.5",""
"11/2/13 1:01:00 PM","2",""
"11/2/13 5:01:00 PM","6",""
"11/2/13 9:01:00 PM","3.5",""
"11/3/13 1:01:00 AM","3.5",""
"11/3/13 5:01:00 AM","3",""
"11/3/13 9:01:00 AM","3",""
"11/3/13 1:01:00 PM","5.5",""
"11/3/13 5:01:00 PM","6",""
"11/3/13 9:01:00 PM","3.5",""
"11/4/13 1:01:00 AM","3",""
"11/4/13 5:01:00 AM","2.5",""
"11/4/13 9:01:00 AM","2",""
"11/4/13 1:01:00 PM","4.5",""
"11/4/13 5:01:00 PM","5",""
"11/4/13 9:01:00 PM","4.5",""
"11/5/13 1:01:00 AM","4",""
"11/5/13 5:01:00 AM","3.5",""
"11/5/13 9:01:00 AM","2.5",""
"11/5/13 1:01:00 PM","2.5",""
"11/5/13 5:01:00 PM","3.5",""
"11/5/13 9:01:00 PM","2.5",""
"11/6/13 1:01:00 AM","1",""
"11/6/13 5:01:00 AM","0",""
"11/6/13 9:01:00 AM","-0.5",""
"11/6/13 1:01:00 PM","1",""
"11/6/13 5:01:00 PM","3",""
"11/6/13 9:01:00 PM","2",""
"11/7/13 1:01:00 AM","1.5",""
"11/7/13 5:01:00 AM","0.5",""
"11/7/13 9:01:00 AM","0.5",""
"11/7/13 1:01:00 PM","1.5",""
"11/7/13 5:01:00 PM","5",""
"11/7/13 9:01:00 PM","2.5",""
"11/8/13 1:01:00 AM","2",""
"11/8/13 5:01:00 AM","2",""
"11/8/13 9:01:00 AM","1.5",""
"11/8/13 1:01:00 PM","2.5",""
"11/8/13 5:01:00 PM","5.5",""
"11/8/13 9:01:00 PM","3",""
"11/9/13 1:01:00 AM","2.5",""
"11/9/13 5:01:00 AM","2",""
"11/9/13 9:01:00 AM","2",""
"11/9/13 1:01:00 PM","4",""
"11/9/13 5:01:00 PM","6",""
"11/9/13 9:01:00 PM","3.5",""
"11/10/13 1:01:00 AM","2.5",""
"11/10/13 5:01:00 AM","2",""
"11/10/13 9:01:00 AM","2",""
"11/10/13 1:01:00 PM","4.5",""
"11/10/13 5:01:00 PM","6.5",""
"11/10/13 9:01:00 PM","4",""
"11/11/13 1:01:00 AM","3",""
"11/11/13 5:01:00 AM","2.5",""
"11/11/13 9:01:00 AM","2",""
"11/11/13 1:01:00 PM","5",""
"11/11/13 5:01:00 PM","7",""
"11/11/13 9:01:00 PM","4.5",""
"11/12/13 1:01:00 AM","3.5",""
"11/12/13 5:01:00 AM","3",""
"11/12/13 9:01:00 AM","2.5",""
"11/12/13 1:01:00 PM","5",""
"11/12/13 5:01:00 PM","7",""
"11/12/13 9:01:00 PM","5",""
"11/13/13 1:01:00 AM","3.5",""
"11/13/13 5:01:00 AM","3",""
"11/13/13 9:01:00 AM","2.5",""
"11/13/13 1:01:00 PM","5.5",""
"11/13/13 5:01:00 PM","6.5",""
"11/13/13 9:01:00 PM","4.5",""
"11/14/13 1:01:00 AM","3.5",""
"11/14/13 5:01:00 AM","3",""
"11/14/13 9:01:00 AM","2.5",""
"11/14/13 1:01:00 PM","5",""
"11/14/13 5:01:00 PM","6.5",""
"11/14/13 9:01:00 PM","4",""
"11/15/13 1:01:00 AM","2.5",""
"11/15/13 5:01:00 AM","2.5",""
"11/15/13 9:01:00 AM","2.5",""
"11/15/13 1:01:00 PM","5",""
"11/15/13 5:01:00 PM","5",""
"11/15/13 9:01:00 PM","4",""
"11/16/13 1:01:00 AM","3.5",""
"11/16/13 5:01:00 AM","3",""
"11/16/13 9:01:00 AM","3",""
"11/16/13 1:01:00 PM","3.5",""
"11/16/13 5:01:00 PM","4",""
"11/16/13 9:01:00 PM","3.5",""
"11/17/13 1:01:00 AM","3.5",""
"11/17/13 5:01:00 AM","3.5",""
"11/17/13 9:01:00 AM","3.5",""
"11/17/13 1:01:00 PM","4.5",""
